Line	Book	Chapter	Verse
1293	Mar	6	30
1294	Mar	6	31
1295	Mar	6	32
1296	Mar	6	33
1297	Mar	6	34
1298	Mar	6	35
1299	Mar	6	36
1300	Mar	6	37
1301	Mar	6	38
1302	Mar	6	39
1303	Mar	6	40
1304	Mar	6	41
1305	Mar	6	42
1306	Mar	6	43
1307	Mar	6	44
1308	Mar	6	45
1309	Mar	6	46
1310	Mar	6	47
1311	Mar	6	48
1312	Mar	6	49
1313	Mar	6	50
1314	Mar	6	51
1315	Mar	6	52
1316	Mar	6	53
1317	Mar	6	54
1318	Mar	6	55
1319	Mar	6	56
1320	Mar	7	1
1321	Mar	7	2
1322	Mar	7	3
1323	Mar	7	4
1324	Mar	7	5
1325	Mar	7	6
1326	Mar	7	7
1327	Mar	7	8
1328	Mar	7	9
1329	Mar	7	10
1330	Mar	7	11
1331	Mar	7	12
1332	Mar	7	13
1333	Mar	7	14
1334	Mar	7	15
1335	Mar	7	16
1336	Mar	7	17
1337	Mar	7	18
1338	Mar	7	19
1339	Mar	7	20
1340	Mar	7	21
1341	Mar	7	22
1342	Mar	7	23
1343	Mar	7	24
1344	Mar	7	25
1345	Mar	7	26
1346	Mar	7	27
1347	Mar	7	28
1348	Mar	7	29
1349	Mar	7	30
1350	Mar	7	31
1351	Mar	7	32
1352	Mar	7	33
1353	Mar	7	34
1354	Mar	7	35
1355	Mar	7	36
1356	Mar	7	37
